[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:23.045] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:23.051] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:23.133] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:23.137] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:23.137] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:23.148] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:23.149] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:23.150] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:23.219] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:23.220] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:23.221] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:23.243] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:23.259] T7 | Marcado: [1,0,1,1,0,0,0,0,1,0,0,0]
[20:00:23.259] T0 | Marcado: [0,1,0,1,0,0,0,0,1,0,0,0]
[20:00:23.260] T8 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:23.260] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:23.341] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:23.423] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:23.426] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:23.427] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:23.428] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:23.428] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:23.508] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:23.509] T0 | Marcado: [0,1,0,0,0,1,0,0,0,0,0,1]
[20:00:23.510] T1 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:23.510] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:23.525] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:23.580] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:23.582] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:23.611] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:23.612] T5 | Marcado: [1,0,1,1,0,0,0,1,0,0,0,0]
[20:00:23.612] T0 | Marcado: [0,1,0,1,0,0,0,1,0,0,0,0]
[20:00:23.612] T1 | Marcado: [0,0,1,2,0,0,0,1,0,0,0,0]
[20:00:23.613] T6 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:23.682] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:23.683] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:23.695] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:23.696] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:23.697] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:23.764] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:23.845] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:23.846] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:23.846] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:23.927] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:23.932] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
